Time,Temperature,Voltage,Vibration,Pressure,Failure
0,76.49014245903369,12.699677718293001,0.2324821725025618,31.18438488424522,0.0
1,74.58520709648644,12.462316841456385,0.2855481329284482,33.279229978440995,0.0
2,76.94306561430207,12.029815184960087,0.22075800790000386,34.17278893315671,0.0
3,79.56908956922408,11.676531611147213,0.26920384703609596,38.77537531468038,0.0
4,74.29753987583,12.349111656806794,0.11063853330462142,36.11310624906751,0.0
5,74.29758912915246,12.196742692710874,0.32132937073729384,32.32903686180022,0.0
6,79.73763844652217,12.447596610013866,0.3001205475362224,35.972072578835274,0.0
7,77.30230418745873,12.317585900840985,0.21829113689318091,31.90539202212327,0.0
8,73.59157684219514,12.524776357659668,0.3659245668432405,37.16538210777415,0.0
9,76.6276801307579,11.732382394219716,0.3937570137626558,34.057750696364245,0.0
10,73.60974692156262,12.658697032817162,0.13924401356310256,34.812727622521656,0.0
11,84.60281073928923,8.0987998023462,1.4860887358505512,40.11067417875202,1.0
12,75.7258868146981,13.037630436312632,0.22308576502127014,32.4256728628315,0.0
13,69.2601592660266,11.655406090955216,0.2060096898891135,32.20576362977402,0.0
14,69.8252465024609,12.867981901582624,0.3829474841931748,33.83280134730799,0.0
15,73.31313741227709,12.098955391731323,0.28061738612271964,37.076757702038634,0.0
16,71.96150663899672,11.674290998192776,0.2735485158689389,31.961307849046314,0.0
17,75.94274199778582,11.758057082972838,0.09961376355932464,29.33568880377886,0.0
18,72.27592777343636,11.83982634590284,0.36354180302092265,34.097682283182,0.0
19,70.76308889599413,12.212082973200959,0.17607416051465274,36.10348159982184,0.0
20,79.39694630676466,12.26141774401775,0.3059932630266328,37.40052349947766,0.0
21,74.3226710985404,11.71314999803071,0.3277376937958192,34.073677275829205,0.0
22,91.20258461406377,9.987822703869508,1.4708653258650575,33.93515069135403,1.0
23,70.72575544135962,13.071135179305932,0.16911796008808877,37.30780146851149,0.0
24,73.36685182642445,12.863771585050356,-0.001951215582082555,31.260516600609158,0.0
25,75.3327677691296,12.218161834837016,0.31838495447536946,34.22295844963398,0.0
26,71.54701926773309,12.0190017390841,0.48005111815108537,35.380847779850114,0.0
27,76.12709405503702,12.060015663359131,0.4238946352939437,35.89843744257007,0.0
28,73.19808393024358,12.306758986365208,0.32096594152746255,33.980386613618236,0.0
29,74.12491875062017,11.488603717400798,0.25083638143679526,35.06888202341168,0.0
30,73.19488016331181,11.871311731288328,0.380712259663731,30.02334529317402,0.0
31,80.55683455352681,11.165707963061205,0.20264538002955312,33.683503175332305,0.0
32,74.9595083257862,12.199611561302639,0.3476357769356219,35.90701742510893,0.0
33,81.8268672131323,9.32359796985137,0.9948590596041442,34.76012190710588,1.0
34,77.46763473630956,11.758406768850312,0.40602099074988796,35.117968443179194,0.0
35,71.33746905008694,12.786993381645017,0.5759660038911077,35.893745001605396,0.0
36,75.62659078501427,11.387117168498829,0.3392415967178767,34.31490159828447,0.0
37,69.12098962836068,11.26781255989509,0.24910363742925012,35.34092754199314,0.0
38,71.01544185330471,12.112225909279987,0.29744256878080055,33.07453486943078,0.0
39,75.59058370760737,12.523549151306078,0.12309240951108816,34.586777440607904,0.0
40,77.21539973998622,12.841963845728934,0.23052868689109418,36.220432339178444,0.0
41,75.51410484356991,11.77055786856553,0.2590717561886896,35.31394592193687,0.0
42,74.65305515283528,12.539340416715648,0.24759116020654073,33.82693746087213,0.0
43,74.09668891323213,11.980745765249646,0.3152354872033722,35.448432808581586,0.0
44,70.56443402889772,11.91368635002959,0.21775800676177992,36.42921958127324,0.0
45,72.84046737481587,12.441829968743336,0.4121030667324471,30.900117442845044,0.0
46,73.61808368712063,12.32616143920671,0.3000207064918197,37.3181481299118,0.0
47,78.17136667865675,11.211803921507876,0.29906996788613854,34.32749052263786,0.0
48,76.03085486870539,12.738270174862947,0.2672105283487082,35.85097986648046,0.0
49,69.7108795339118,12.690045677073726,0.3155190683858979,37.394493847290455,0.0
50,75.97225190818439,11.687218649245235,0.38250982646676346,32.25665260553907,0.0
51,73.84475315875105,12.197901766718704,0.21328697842890995,33.58111799514491,0.0
52,72.96923399908212,12.24701509314137,0.23418835109247432,34.42290260824859,0.0
53,76.8350288665226,12.130336882911953,0.2696273971223335,33.432492957751144,0.0
54,78.09299856748785,11.72484742307729,0.1654129076526785,38.46987315167362,0.0
55,77.7938403573486,11.664188316030975,0.2180742140278502,33.28645581234642,0.0
56,72.48234743033208,11.987222964504276,0.2523779126455341,33.888906441026265,0.0
57,74.07236287244636,12.586364509629682,0.38743891807127273,35.40877806320595,0.0
58,75.9937902942107,12.271800077297216,0.3262561329001925,32.595700947847824,0.0
59,95.92663538136708,7.814692833956947,1.2367419329372278,38.58262389594339,1.0
60,73.56247728646413,12.385849355324172,0.38508979621679723,35.63490652250035,0.0
61,74.44302307000855,10.575728689684961,0.2862628211600603,34.33427919123498,0.0
62,71.68099507798192,12.574382850186051,0.3390464849928889,34.813226282200105,0.0
63,71.411380127758,11.13014311061095,0.28967782470675035,33.941335775103255,0.0
